"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:SampleAndWrite.SamplingEnable:BooleanRising:"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1619210234479781763"
"StartRawTime","1619210234479781763"
"Index","Date","ClockTime","RawTime","TraceSampID","gActualForce[1]:LREAL","gActualForce[2]:LREAL","gActualForce[3]:LREAL","gActualForce[4]:LREAL","gActualForce[5]:LREAL","gActualForce[6]:LREAL","gActualLaserPosition:LREAL"
"37123","2021-04-23","20:37:14.48","1619210234479781763","","-0.53654283082593679","0.1336024464831862","-0.71364419364416776","-0.009379420334304972","0.022608706240486956","-0.0093607591062129514","74.356999999999999"
"37124","2021-04-23","20:37:14.48","1619210234480783156","","-0.93894995394538761","0.2004036697247793","-0.84339768339766508","-0.00803950314368998","0.027928401826484137","-0.0026745026017754442","77.873000000000005"
"37125","2021-04-23","20:37:14.48","1619210234481781863","","-0.87188210009214551","-0.0668012232415931","-0.64876744876742265","-0.0026798343812299841","0.026598477929984835","0.0053490052035508884","77.873999999999995"
"37126","2021-04-23","20:37:14.48","1619210234482781275","","-0.93894995394538761","0.3340061162079655","-1.0380279180279075","-0.0040197515718449761","0.022608706240486956","-0.0080235078053252362","77.867999999999995"
"37127","2021-04-23","20:37:14.48","1619210234483784312","","-1.1401535155050588","-0.0668012232415931","-0.97315117315115884","-0.00803950314368998","0.027928401826484137","0.0053490052035508884","77.873000000000005"
"37128","2021-04-23","20:37:14.48","1619210234484781235","","-1.0060178077986297","0","-0.90827442827441374","-0.0053596687624599682","0.021278782343987654","-0.0026745026017754442","77.870000000000005"
"37129","2021-04-23","20:37:14.48","1619210234485782520","","-1.4084249309180272","0.2004036697247793","-0.71364419364416776","-0.0066995859530749602","0.023938630136986244","-0.0053490052035509023","77.870000000000005"
"37130","2021-04-23","20:37:14.48","1619210234486781504","","-0.93894995394538761","0.2004036697247793","-0.97315117315115884","-0.0040197515718449761","0.023938630136986244","-0.0053490052035509023","77.870000000000005"
"37131","2021-04-23","20:37:14.48","1619210234487782115","","-0.93894995394538761","0.1336024464831862","-0.90827442827441374","-0.00803950314368998","0.022608706240486956","-0.0040117539026631732","77.869"
"37132","2021-04-23","20:37:14.48","1619210234488780930","","-0.87188210009214551","0","-0.77852093852091642","-0.00803950314368998","0.019948858447489462","0.0013372513008877152","77.870999999999995"
"37133","2021-04-23","20:37:14.49","1619210234489783751","","-1.0060178077986297","0.2004036697247793","-1.0380279180279075","-0.00803950314368998","0.025268554033485546","-0.0040117539026631732","77.872"
"37134","2021-04-23","20:37:14.49","1619210234490781671","","-1.1401535155050588","0.1336024464831862","-1.0380279180279075","-0.0040197515718449761","0.021278782343987654","-0.0026745026017754442","77.875"
"37135","2021-04-23","20:37:14.49","1619210234491781281","","-1.2072213693583009","0","-1.0380279180279075","-0.00803950314368998","0.019948858447489462","-0.001337251300887729","77.873000000000005"
"37136","2021-04-23","20:37:14.49","1619210234492781949","","-0.73774639238566131","-0.20040366972478019","-0.84339768339766508","-0.0066995859530749602","0.026598477929984835","0","77.873000000000005"
"37137","2021-04-23","20:37:14.49","1619210234493781666","","-1.0060178077986297","0","-0.84339768339766508","-0.012059254715534956","0.026598477929984835","0.0013372513008877152","77.870000000000005"
"37138","2021-04-23","20:37:14.49","1619210234494781500","","-0.80481424623890341","-0.0668012232415931","-0.90827442827441374","-0.0053596687624599682","0.026598477929984835","-0.0040117539026631732","77.866"
"37139","2021-04-23","20:37:14.49","1619210234495783770","","-1.1401535155050588","0.2004036697247793","-0.77852093852091642","0","0.023938630136986244","-0.0040117539026631732","77.869"
"37140","2021-04-23","20:37:14.49","1619210234496780745","","-0.73774639238566131","-0.0668012232415931","-0.84339768339766508","-0.0066995859530749602","0.021278782343987654","-0.0026745026017754442","77.873999999999995"
"37141","2021-04-23","20:37:14.49","1619210234497781465","","-0.93894995394538761","0","-0.90827442827441374","-0.0053596687624599682","0.021278782343987654","-0.0053490052035509023","77.873000000000005"
"37142","2021-04-23","20:37:14.49","1619210234498783926","","-0.93894995394538761","0.4008073394495586","-0.84339768339766508","-0.0053596687624599682","0.025268554033485546","-0.0040117539026631732","77.873000000000005"
"37143","2021-04-23","20:37:14.50","1619210234499779980","","-0.87188210009214551","0.1336024464831862","-0.97315117315115884","-0.00803950314368998","0.022608706240486956","0","77.870999999999995"
"37144","2021-04-23","20:37:14.50","1619210234500780954","","-1.0060178077986297","0.1336024464831862","-0.90827442827441374","-0.0053596687624599682","0.025268554033485546","-0.0066862565044386174","77.870000000000005"
"37145","2021-04-23","20:37:14.50","1619210234501781840","","-1.1401535155050588","0.1336024464831862","-0.90827442827441374","-0.0053596687624599682","0.026598477929984835","0.0013372513008877152","77.872"
"37146","2021-04-23","20:37:14.50","1619210234502780807","","-1.0060178077986297","0.2672048929663724","-1.0380279180279075","-0.00803950314368998","0.026598477929984835","-0.001337251300887729","77.873999999999995"
"37147","2021-04-23","20:37:14.50","1619210234503781701","","-0.93894995394538761","0","-0.90827442827441374","-0.0026798343812299841","0.023938630136986244","-0.0026745026017754442","77.870000000000005"
